index_code,date,close,open,high,low,SP500,gold,WTI_oil,label
eur_usd,9/1/2006,1.26720 ,1.28040 ,1.28750 ,1.26290 ,1335.85000 ,598.60000 ,62.91000 ,1.27630 
eur_usd,10/1/2006,1.27630 ,1.26830 ,1.27850 ,1.24830 ,1377.94000 ,604.10000 ,58.73000 ,1.32410 
eur_usd,11/1/2006,1.32410 ,1.27620 ,1.32750 ,1.26810 ,1400.63000 ,646.90000 ,63.13000 ,1.31990 
eur_usd,12/1/2006,1.31990 ,1.32440 ,1.33700 ,1.30540 ,1418.30000 ,635.20000 ,61.05000 ,1.30340 
eur_usd,1/1/2007,1.30340 ,1.31980 ,1.32990 ,1.28660 ,1438.24000 ,652.00000 ,58.14000 ,1.32350 
eur_usd,2/1/2007,1.32350 ,1.30320 ,1.32610 ,1.29120 ,1406.82000 ,669.40000 ,61.79000 ,1.33580 
eur_usd,3/1/2007,1.33580 ,1.32320 ,1.34140 ,1.30720 ,1420.86000 ,663.00000 ,65.87000 ,1.36470 
eur_usd,4/1/2007,1.36470 ,1.33750 ,1.36830 ,1.33190 ,1482.37000 ,680.50000 ,65.71000 ,1.34530 
eur_usd,5/1/2007,1.34530 ,1.36410 ,1.36740 ,1.34070 ,1530.62000 ,661.00000 ,64.01000 ,1.35420 
eur_usd,6/1/2007,1.35420 ,1.34530 ,1.35540 ,1.32620 ,1503.35000 ,648.10000 ,70.68000 ,1.36730 
eur_usd,7/1/2007,1.36730 ,1.35420 ,1.38530 ,1.35280 ,1455.27000 ,666.90000 ,78.21000 ,1.36300 
eur_usd,8/1/2007,1.36300 ,1.36770 ,1.38410 ,1.33600 ,1473.99000 ,673.00000 ,74.04000 ,1.42720 
eur_usd,9/1/2007,1.42720 ,1.36280 ,1.42790 ,1.35510 ,1526.75000 ,742.80000 ,81.66000 ,1.44810 
eur_usd,10/1/2007,1.44810 ,1.42770 ,1.45050 ,1.40140 ,1549.38000 ,792.00000 ,94.53000 ,1.46320 
eur_usd,11/1/2007,1.46320 ,1.44800 ,1.49680 ,1.44040 ,1481.14000 ,782.20000 ,88.71000 ,1.45900 
eur_usd,12/1/2007,1.45900 ,1.46380 ,1.47710 ,1.43100 ,1468.36000 ,834.90000 ,95.98000 ,1.48660 
eur_usd,1/1/2008,1.48660 ,1.45860 ,1.49230 ,1.43650 ,1378.55000 ,922.70000 ,91.75000 ,1.51810 
eur_usd,2/1/2008,1.51810 ,1.48600 ,1.52400 ,1.44400 ,1330.63000 ,972.10000 ,101.84000 ,1.57740 
eur_usd,3/1/2008,1.57740 ,1.51950 ,1.59050 ,1.51470 ,1322.70000 ,916.20000 ,101.58000 ,1.56170 
